iter	RMSE
573	7218.284618
574	7207.523941
575	7197.568263
576	7181.441646
577	7164.439905
578	7152.411377
579	7143.02269
580	7137.8975
581	7125.329565
582	7117.5135
583	7107.679486
584	7093.671768
585	7084.750234
586	7073.474309
587	7061.376867
588	7055.433841
589	7035.172301
590	7027.559357
591	7021.086953
592	7011.676931
593	7003.050678
594	6991.594807
595	6979.076364
596	6967.229462
597	6965.550411
598	6953.171501
599	6944.372696
600	6934.169322
601	6922.39985
602	6914.963989
603	6903.476783
604	6888.093673
605	6880.967316
606	6878.506814
607	6861.229242
608	6854.239142
609	6844.009396
610	6836.112562
611	6828.019341
612	6816.033861
613	6806.52568
614	6799.730219
615	6795.383358
616	6780.90795
617	6774.936022
618	6760.655725
619	6754.030501
620	6749.094744
621	6733.03541
622	6726.190931
623	6715.367187
624	6714.149512
625	6704.471386
626	6699.618673
627	6692.508304
628	6687.159973
629	6675.080199
630	6666.684489
631	6657.622821
632	6655.990176
633	6646.916822
634	6633.815104
635	6623.967386
636	6615.590563
637	6608.419172
638	6600.7269
639	6596.694796
640	6585.76818
641	6572.323471
642	6565.837627
643	6558.631004
644	6556.467587
645	6543.323862
646	6534.002112
647	6527.939042
648	6523.477061
649	6522.836025
650	6510.111428
651	6500.367817
652	6491.174631
653	6482.095882
654	6480.957779
655	6468.236872
656	6460.64747
657	6456.439172
658	6443.115162
659	6433.677147
660	6425.545313
661	6418.98931
662	6402.314726
663	6385.168367
664	6377.210937
665	6364.289374
666	6357.537336
667	6352.813285
668	6341.435042
669	6336.306363
670	6326.279458
671	6316.14753
672	6299.424266
673	6288.596284
674	6277.549801
675	6275.158511
676	6258.116598
677	6249.197057
678	6239.170534
679	6230.247627
680	6216.943265
681	6215.571454
682	6202.136458
683	6194.06298
684	6187.297216
685	6176.129585
686	6165.667626
687	6156.774875
688	6145.08343
689	6135.822658
690	6128.20576
691	6122.845545
692	6119.137795
693	6117.876633
694	6111.180041
695	6099.147141
696	6097.891487
697	6091.503928
698	6079.689031
699	6075.65611
700	6061.421402
701	6055.129843
702	6042.351075
703	6030.266134
704	6022.37217
705	6021.415206
706	6013.895296
707	6012.896817
708	6004.894235
709	5995.810279
710	5992.429766
711	5983.218327
712	5972.029367
713	5961.053621
714	5949.46426
715	5947.521488
716	5940.13044
717	5925.668767
718	5912.010486
719	5905.927055
720	5888.695806
721	5881.717949
722	5873.553944
723	5867.880673
724	5856.744426
725	5855.997125
726	5853.209642
727	5842.904924
728	5837.833119
729	5829.502457
730	5826.413391
731	5821.292505
732	5816.949223
733	5806.467549
734	5794.46473
735	5789.41634
736	5783.591776
737	5776.991909
738	5768.41721
739	5759.574024
740	5746.821639
741	5739.551083
742	5732.954398
743	5720.826421
744	5711.890682
745	5702.242115
746	5697.062176
747	5696.260982
748	5685.018355
749	5681.802657
750	5668.507291
751	5660.933676
752	5652.742258
753	5643.243058
754	5632.346557
755	5614.998571
756	5600.493223
757	5599.652585
758	5589.010166
759	5580.720056
760	5573.530556
761	5564.066063
762	5548.964481
763	5542.108503
764	5534.28675
765	5531.637377
766	5523.756725
767	5517.986098
768	5510.410334
769	5508.369251
770	5501.572906
771	5487.261788
772	5478.515384
773	5470.787033
774	5464.513827
775	5459.950553
776	5451.953273
777	5444.503729
778	5436.274794
779	5432.625772
780	5427.952543
781	5422.851678
782	5409.883717
783	5397.829159
784	5397.276628
785	5388.046392
786	5381.61569
787	5371.307175
788	5367.067248
789	5361.310148
790	5348.348017
791	5344.040699
792	5336.117757
793	5330.780873
794	5320.592004
795	5312.308309
796	5309.843163
797	5301.780876
798	5292.289599
799	5285.323551
800	5279.054134
801	5270.880962
802	5264.959612
803	5257.19638
804	5250.500674
805	5248.356794
806	5243.993649
807	5237.20425
808	5231.640233
809	5224.557424
810	5214.531403
811	5202.847505
812	5193.725071
813	5188.712132
814	5179.164201
815	5171.253913
816	5163.01983
817	5154.47321
818	5153.490771
819	5140.942933
820	5131.397042
821	5126.119068
822	5111.481609
823	5104.508137
824	5098.087444
825	5091.354293
826	5085.04995
827	5078.417877
828	5070.54316
829	5062.385124
830	5054.159779
831	5046.542417
832	5035.313852
833	5030.132483
834	5021.188351
835	5020.567901
836	5010.320889
837	5004.452239
838	4996.397735
839	4987.2496
840	4978.471727
841	4974.689474
842	4965.748502
843	4960.580126
844	4953.917254
845	4951.206754
846	4946.582784
847	4944.363792
848	4939.591674
849	4930.007421
850	4924.478014
851	4917.829573
852	4912.166297
853	4911.696952
854	4900.539816
855	4894.776907
856	4891.377298
857	4882.348695
858	4881.440604
859	4870.221055
860	4869.532759
861	4862.551285
862	4855.046824
863	4849.64803
864	4842.476462
865	4841.789342
866	4834.376789
867	4822.839122
868	4820.361384
869	4814.458205
870	4800.890185
871	4796.52708
872	4791.808727
873	4784.888966
874	4776.514418
875	4775.928226
876	4765.619625
877	4761.341002
878	4755.332179
879	4749.805572
880	4741.141735
881	4729.646548
882	4721.302416
883	4716.160355
884	4709.395447
885	4704.827763
886	4699.19064
887	4689.195983
888	4682.438905
889	4677.512276
890	4676.831371
891	4668.401165
892	4662.37888
893	4657.072521
894	4648.399326
895	4640.351987
896	4634.523214
897	4628.428515
898	4616.557566
899	4613.455366
900	4609.098923
901	4601.357778
902	4594.246927
903	4586.557439
904	4581.128411
905	4577.950163
906	4573.349006
907	4571.353891
908	4560.836068
909	4555.178966
910	4547.221722
911	4539.019877
912	4529.923412
913	4526.008068
914	4517.859591
915	4508.873193
916	4507.690463
917	4506.712599
918	4498.851774
919	4490.705445
920	4485.546931
921	4476.602057
922	4470.308592
923	4466.338733
924	4461.292337
925	4456.919209
926	4449.85264
927	4446.657259
928	4444.438785
929	4443.847655
930	4436.55508
931	4433.626887
932	4426.957421
933	4418.641217
934	4417.487484
935	4411.369952
936	4405.547013
937	4403.556262
938	4398.145816
939	4393.084251
940	4384.400648
941	4383.927823
942	4377.969035
943	4372.380049
944	4365.947895
945	4357.354481
946	4351.357259
947	4344.046179
948	4340.133455
949	4331.343701
950	4322.541232
951	4311.72865
952	4308.832434
953	4303.236465
954	4297.820578
955	4294.127218
956	4285.118727
957	4277.752223
958	4270.772556
959	4268.702468
960	4263.917156
961	4257.566718
962	4255.301052
963	4251.472461
964	4246.998728
965	4244.006465
966	4239.188525
967	4232.613155
968	4227.903752
969	4222.889013
970	4218.253628
971	4205.990556
972	4200.151682
973	4189.548589
974	4185.891319
975	4180.910038
976	4172.089425
977	4164.294761
978	4158.803197
979	4154.516019
980	4151.20082
981	4145.092783
982	4141.991831
983	4137.731173
984	4131.238097
985	4125.896225
986	4123.485911
987	4117.275122
988	4112.401288
989	4109.503967
990	4102.185104
991	4098.370377
992	4091.080278
993	4085.653708
994	4080.948696
995	4074.639892
996	4067.642147
997	4063.060008
998	4057.238021
999	4049.658931
